Timestamp,OL_grade,AL_grade,any_english_course,OL_medium,AL_medium,spoken_prof,writing_prof,reading_prof,listening_prof,is_en_dev_program_good,student_feedback,join_english_club,en_dev_group,en_score,en_prof_level,sentiment,is_comment_in_en
2023-05-26 18:22:19.343,A,C,No,English Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Yes,A-3,23,2,no comment,-1
2023-05-26 21:46:30.002,A,C,No,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,no comment,Maybe,A-4,21,2,no comment,-1
2023-05-26 22:38:12.182,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-4,19,2,no comment,-1
2023-06-06 13:38:05.682,B,S,Yes,Sinhala Medium,Sinhala Medium,3,3,3,4,No,no comment,Maybe,A-4,19,2,no comment,-1
2023-06-06 13:41:13.197,B,C,Yes,Sinhala Medium,Sinhala Medium,3,4,5,4,Yes,no comment,Maybe,A-4,23,2,no comment,-1
2023-06-06 15:43:52.961,S,S,No,Sinhala Medium,Sinhala Medium,2,3,4,4,Yes,I enjoyed most the interactive sessions ,Yes,A-4,15,1,Positive,1
2023-06-06 20:54:45.279,S,W,No,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,no comment,Maybe,B-5,9,1,no comment,-1
2023-06-06 20:55:50.452,A,C,No,Sinhala Medium,Sinhala Medium,2,4,4,3,Yes,no comment,Yes,B-3,20,2,no comment,-1
2023-06-06 20:59:10.903,A,B,No,Sinhala Medium,Sinhala Medium,3,4,5,4,Yes,no comment,Maybe,B-1,25,2,no comment,-1
2023-06-06 21:00:27.431,A,C,No,Tamil Medium,Tamil Medium,3,3,4,4,Yes,no comment,Maybe,B-4,21,2,no comment,-1
2023-06-06 21:05:15.838,A,C,No,English Medium,Sinhala Medium,3,3,4,4,Yes,Actually English Program is well organized.Specially practical group activities are so useful.,Yes,A-4,22,2,Positive,1
2023-06-07 07:05:13.844,B,B,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-3,20,2,no comment,-1
2023-06-07 20:43:45.817,A,B,No,English Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,A-2,25,2,no comment,-1
2023-06-07 20:45:29.909,B,S,No,Sinhala Medium,Sinhala Medium,2,3,3,3,Yes,no comment,Maybe,A-4,16,2,no comment,-1
2023-06-07 20:55:11.409,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,no comment,B-3,19,2,no comment,-1
2023-06-07 21:09:25.207,A,C,No,Sinhala Medium,Sinhala Medium,3,2,2,2,Yes,Very good,Yes,A-4,16,2,Positive,1
2023-06-07 21:20:30.355,A,A,Yes,Sinhala Medium,Sinhala Medium,5,4,4,4,No,no comment,Maybe,A-1,28,3,no comment,-1
2023-06-07 21:21:00.226,B,S,Yes,Sinhala Medium,Sinhala Medium,3,3,3,4,Yes,no comment,Maybe,B-5,19,2,no comment,-1
2023-06-07 21:22:11.516,A,A,Yes,Sinhala Medium,Sinhala Medium,4,3,4,4,Yes,no comment,no comment,A-2,26,3,no comment,-1
2023-06-07 21:27:24.431,B,S,No,Sinhala Medium,Sinhala Medium,2,2,1,2,Yes,no comment,Yes,A-3,12,1,no comment,-1
2023-06-07 21:28:47.256,B,C,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,Very good,No,B-2,19,2,Positive,1
2023-06-07 21:33:02.086,A,S,No,Sinhala Medium,Sinhala Medium,2,2,3,3,Yes,no comment,Maybe,A-3,16,2,no comment,-1
2023-06-07 21:48:00.914,A,A,No,Sinhala Medium,Sinhala Medium,2,4,4,4,Yes,no comment,Maybe,A-1,24,2,no comment,-1
2023-06-07 21:53:46.934,B,C,No,Sinhala Medium,Sinhala Medium,1,3,3,3,Yes,"The fear of speaking in front of a group decreased, and the ability to speak increased",Yes,B-4,16,2,Negative,1
2023-06-07 22:48:32.123,A,A,Yes,English Medium,Sinhala Medium,3,4,4,3,Yes,Pointing students to speak seems to be uncomfortable ,Maybe,A-1,26,3,Negative,1
2023-06-07 23:38:00.558,A,B,Yes,Sinhala Medium,Sinhala Medium,3,3,4,3,Yes,I enjoyed the speaking activities most.,Yes,B-2,23,2,Positive,1
2023-06-08 07:12:17.819,A,C,Yes,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,B-2,23,2,no comment,-1
2023-06-08 10:08:17.014,A,A,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,Its valuble for us to do some more english activities and entertaining things ,Maybe,B-2,23,2,Positive,1
2023-06-08 11:30:32.729,C,C,No,Sinhala Medium,Sinhala Medium,1,1,1,1,Yes,It is easy to understand if it is conduct in bilingual medium,Yes,A-6,8,1,Positive,1
2023-06-08 11:32:26.686,A,C,No,English Medium,Sinhala Medium,3,2,4,4,Yes,No suggestion .,Yes,A-5,21,2,Natural,0
2023-06-08 11:35:22.097,S,S,No,Sinhala Medium,Sinhala Medium,1,1,2,2,No,සිංහල මාධ්‍යයේන් පැහැදිලි නොකරයි,Maybe,A-6,8,1,Natural,0
2023-06-08 15:18:47.614,A,C,No,Sinhala Medium,Sinhala Medium,4,3,3,2,Yes,no comment,Maybe,A-3,19,2,no comment,-1
2023-06-09 08:33:35.959,B,S,Yes,Sinhala Medium,Sinhala Medium,4,5,4,3,Yes,no comment,Yes,A-3,22,2,no comment,-1
2023-06-10 07:24:27.979,C,C,Yes,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Yes,A-3,20,2,no comment,-1
2023-06-10 08:06:11.376,C,S,Yes,Sinhala Medium,Sinhala Medium,2,3,3,4,Yes,no comment,Maybe,A-5,16,2,no comment,-1
2023-06-10 10:43:27.517,C,S,Yes,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,B-4,19,2,no comment,-1
2023-06-10 17:26:44.245,C,S,Yes,Sinhala Medium,Sinhala Medium,2,1,2,2,Yes,no comment,Yes,A-3,11,1,no comment,-1
2023-06-10 17:33:39.010,A,C,No,Sinhala Medium,Sinhala Medium,3,4,5,4,Yes,no comment,Maybe,B-3,23,2,no comment,-1
2023-06-10 17:59:45.928,A,C,No,Sinhala Medium,Sinhala Medium,3,3,4,3,Yes,Not bad ,Yes,B-2,20,2,Positive,1
2023-06-10 20:06:58.004,A,B,Yes,English Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-3,23,2,no comment,-1
2023-06-10 20:09:26.520,A,A,Yes,English Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,B-1,28,3,no comment,-1
2023-06-10 21:17:50.279,B,B,Yes,Sinhala Medium,Sinhala Medium,2,3,4,4,Yes,"The teachers teach very well, it is useful to divide the parts so that all aspects are covered. Having more time for speaking is sufficient to some extent.",Maybe,A-1,22,2,Positive,1
2023-06-11 14:28:16.108,A,B,Yes,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,A-6,25,2,no comment,-1
2023-06-12 14:03:20.550,A,A,No,English Medium,English Medium,4,5,5,5,No,no comment,No,A-1,31,3,no comment,-1
2023-06-13 19:48:21.356,A,S,No,Sinhala Medium,Sinhala Medium,2,2,3,3,Yes,no comment,Maybe,A-3,16,2,no comment,-1
2023-06-13 21:26:34.745,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-3,19,2,no comment,-1
2023-06-13 21:26:44.461,A,C,Yes,Sinhala Medium,Sinhala Medium,2,3,4,4,Yes,no comment,Maybe,B-3,21,2,no comment,-1
2023-06-13 21:45:54.750,C,S,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,We can improve our skills,No,A-4,15,1,Natural,0
2023-06-13 21:56:12.457,C,S,No,Sinhala Medium,Sinhala Medium,1,1,4,4,Yes,no comment,Yes,B-6,13,1,no comment,-1
2023-06-13 22:03:55.945,A,C,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Maybe,A-2,20,2,no comment,-1
2023-06-13 22:03:56.496,A,A,Yes,English Medium,Sinhala Medium,4,5,4,4,Yes,no comment,Maybe,B-1,29,3,no comment,-1
2023-06-13 22:04:41.173,A,A,Yes,Sinhala Medium,Sinhala Medium,5,4,5,5,Yes,Interactive sessions were great. But the program would be much better if they did different lessons to different levels according to their English knowledge level instead of doing the same thing for all the levels.,Yes,A-1,30,3,Positive,1
2023-06-13 22:07:38.988,A,A,No,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,no comment,Yes,B-2,24,2,no comment,-1
2023-06-13 22:09:45.509,A,B,Yes,Sinhala Medium,Sinhala Medium,3,4,4,5,Yes,no comment,Yes,B-3,26,3,no comment,-1
2023-06-13 22:15:03.991,A,A,Yes,Sinhala Medium,Sinhala Medium,4,4,5,4,Yes,no comment,Yes,B-1,28,3,no comment,-1
2023-06-13 22:15:08.239,A,S,No,Tamil Medium,Tamil Medium,3,3,4,4,Yes,no comment,Yes,B-3,20,2,no comment,-1
2023-06-13 22:15:50.837,A,B,Yes,Tamil Medium,Tamil Medium,3,2,3,3,Yes,no comment,Yes,B-2,21,2,no comment,-1
2023-06-13 22:16:18.662,A,C,No,Tamil Medium,Tamil Medium,2,3,3,3,Yes,no comment,Yes,B-4,18,2,no comment,-1
2023-06-13 22:18:43.799,A,C,No,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,It's good. We can imprve our english knowledge ,Yes,B-4,22,2,Positive,1
2023-06-13 22:21:16.303,A,B,No,English Medium,Sinhala Medium,4,4,5,4,Yes,no comment,Maybe,A-2,27,3,no comment,-1
2023-06-13 22:27:50.500,A,A,No,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-1,26,3,no comment,-1
2023-06-13 22:28:25.658,A,B,No,English Medium,Sinhala Medium,3,3,4,4,Yes,no comment,Yes,B-2,24,2,no comment,-1
2023-06-13 22:29:08.259,A,A,No,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,We have very friendly teachers to teach us. It’s very comfortable to study with them,Yes,B-2,24,2,Positive,1
2023-06-13 22:30:19.312,A,B,Yes,Sinhala Medium,Sinhala Medium,3,4,4,3,Yes,no comment,no comment,A-6,24,2,no comment,-1
2023-06-13 22:31:37.956,A,B,Yes,Sinhala Medium,Sinhala Medium,2,4,4,4,Yes,no comment,Maybe,B-2,24,2,no comment,-1
2023-06-13 22:31:41.962,A,B,No,Sinhala Medium,Sinhala Medium,3,3,4,3,No,no comment,Yes,A-1,22,2,no comment,-1
2023-06-13 22:32:09.344,A,B,No,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,no comment,Maybe,B-3,23,2,no comment,-1
2023-06-13 22:34:55.853,A,B,No,Sinhala Medium,Sinhala Medium,3,3,4,3,Yes,no comment,Maybe,B-4,22,2,no comment,-1
2023-06-13 22:40:43.282,A,A,Yes,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,B-2,26,3,no comment,-1
2023-06-13 22:42:20.977,A,A,No,English Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,A-1,26,3,no comment,-1
2023-06-13 23:00:45.631,A,A,No,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,The teachers don’t pressure us,Yes,B-1,26,3,Natural,1
2023-06-13 23:19:08.420,A,A,No,English Medium,Sinhala Medium,3,4,5,5,Yes,no comment,Yes,A-3,28,3,no comment,-1
2023-06-13 23:30:44.739,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Maybe,A-4,19,2,no comment,-1
2023-06-13 23:31:49.476,A,C,Yes,Sinhala Medium,Sinhala Medium,4,4,3,3,Yes,no comment,Maybe,A-4,22,2,no comment,-1
2023-06-13 23:32:45.520,B,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,No,no comment,Yes,B-2,18,2,no comment,-1
2023-06-13 23:33:34.087,C,S,Yes,Sinhala Medium,Sinhala Medium,2,2,2,2,No,no comment,No,B-3,12,1,no comment,-1
2023-06-13 23:34:14.331,A,A,Yes,English Medium,English Medium,5,5,4,4,Yes,no comment,Yes,A-1,31,3,no comment,-1
2023-06-14 00:11:30.270,B,C,No,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,I have a fear to spoken english,Yes,A-5,14,1,Natural,1
2023-06-14 00:13:24.602,A,C,Yes,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,I have so many doubt related to grammar.the development program held the grammer lesson very fastly,Yes,B-5,22,2,Positive,1
2023-06-14 00:38:13.363,A,B,Yes,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,We can improve  our presentation  skills and it gives us a ability to how we face in odious,Maybe,A-2,26,3,Natural,1
2023-06-14 00:42:54.506,B,C,Yes,English Medium,Sinhala Medium,2,3,3,3,Yes,"We can improve  our speaking readings  writing, grammar and listening  abilities ",Maybe,B-3,19,2,Natural,1
2023-06-14 01:07:19.711,B,S,Yes,Sinhala Medium,Sinhala Medium,2,2,2,3,Yes,no comment,Yes,A-4,15,1,no comment,-1
2023-06-14 05:44:36.809,A,C,No,English Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Maybe,A-4,23,2,no comment,-1
2023-06-14 05:51:41.175,A,A,Yes,English Medium,Sinhala Medium,3,3,4,3,Yes,no comment,Maybe,A-4,25,2,no comment,-1
2023-06-14 06:09:38.457,A,S,No,Sinhala Medium,Sinhala Medium,2,2,4,4,Yes,Interactive session ,Maybe,B-4,18,2,Natural,1
2023-06-14 06:20:11.882,B,B,Yes,Sinhala Medium,Sinhala Medium,3,4,5,4,Yes,no comment,Yes,A-3,25,2,no comment,-1
2023-06-14 07:00:55.646,A,A,No,Sinhala Medium,Sinhala Medium,3,4,4,3,Yes,no comment,Yes,A-5,24,2,no comment,-1
2023-06-14 07:16:05.406,A,C,Yes,Sinhala Medium,Sinhala Medium,2,3,4,3,Yes,no comment,Maybe,A-2,20,2,no comment,-1
2023-06-14 07:44:19.959,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-3,19,2,no comment,-1
2023-06-14 08:24:56.562,B,C,No,Sinhala Medium,Sinhala Medium,3,3,3,4,Yes,no comment,Yes,A-3,19,2,no comment,-1
2023-06-14 08:39:30.694,A,C,No,Sinhala Medium,Sinhala Medium,2,3,3,4,Yes,no comment,Maybe,A-3,19,2,no comment,-1
2023-06-14 08:53:02.825,A,A,No,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-1,26,3,no comment,-1
2023-06-14 09:17:51.406,C,W,No,Sinhala Medium,Sinhala Medium,1,1,3,2,No,no comment,Maybe,B-4,9,1,no comment,-1
2023-06-14 10:37:07.475,A,A,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-1,22,2,no comment,-1
2023-06-14 14:44:11.634,C,W,No,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,We should more partake intractive session for improve our spoken english,Maybe,B-6,17,2,Positive,1
2023-06-14 20:35:56.046,A,B,Yes,Sinhala Medium,Sinhala Medium,2,3,3,3,Yes,no comment,Maybe,B-2,21,2,no comment,-1
2023-06-15 16:49:45.833,A,C,Yes,Tamil Medium,Tamil Medium,3,3,3,3,Yes,It's very useful to gain knowledge ,Yes,A-4,20,2,Positive,1
2023-06-15 16:49:49.389,A,B,No,English Medium,Sinhala Medium,3,2,3,3,Yes,no comment,Yes,A-2,21,2,no comment,-1
2023-06-21 12:54:55.963,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,interactive session,Yes,B-4,19,2,Natural,1
2023-06-21 13:22:21.832,A,B,No,English Medium,Sinhala Medium,3,3,4,4,Yes,no comment,Maybe,A-2,24,2,no comment,-1
2023-06-21 14:25:39.135,A,B,No,English Medium,Sinhala Medium,3,4,4,4,Yes,...,No,B-2,25,2,Natural,1
2023-06-21 20:55:02.588,A,B,No,Sinhala Medium,Sinhala Medium,4,3,1,2,No,no comment,Yes,A-1,19,2,no comment,-1
2023-06-21 20:56:33.857,A,C,No,Sinhala Medium,Sinhala Medium,4,3,2,2,Yes,no comment,Yes,A-2,18,2,no comment,-1
2023-06-21 20:57:24.627,B,C,No,Sinhala Medium,Sinhala Medium,4,3,2,2,Yes,no comment,Yes,B-6,17,2,no comment,-1
2023-06-22 19:22:00.652,C,S,No,Sinhala Medium,Sinhala Medium,3,4,2,4,Yes,no comment,Maybe,A-3,16,2,no comment,-1
2023-06-24 09:35:03.086,C,S,No,Sinhala Medium,Sinhala Medium,1,1,1,1,Yes,no comment,Maybe,A-4,7,1,no comment,-1
2023-06-26 09:54:49.672,B,S,No,Sinhala Medium,Sinhala Medium,4,3,3,3,Yes,no comment,Yes,B-6,18,2,no comment,-1
2023-06-26 09:55:35.698,B,C,No,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Yes,B-5,21,2,no comment,-1
2023-06-26 10:00:07.858,A,C,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-3,20,2,no comment,-1
2023-06-26 10:00:54.505,B,B,Yes,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,no comment,Yes,B-2,17,2,no comment,-1
2023-06-26 10:04:22.490,A,A,Yes,English Medium,English Medium,5,5,5,5,Yes,no comment,Yes,B-1,33,3,no comment,-1
2023-06-26 10:05:04.355,A,C,No,English Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-3,24,2,no comment,-1
2023-06-26 10:05:37.399,A,A,Yes,English Medium,English Medium,5,5,5,5,Yes,no comment,Yes,A-1,33,3,no comment,-1
2023-06-26 10:06:02.868,A,B,No,English Medium,Sinhala Medium,4,5,5,5,Yes,no comment,Yes,A-2,29,3,no comment,-1
2023-06-26 10:06:37.171,A,C,Yes,English Medium,Sinhala Medium,4,5,3,4,Yes,no comment,Yes,A-4,25,2,no comment,-1
2023-06-26 10:07:08.352,A,C,Yes,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,B-4,24,2,no comment,-1
2023-06-26 10:07:33.425,A,C,Yes,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,B-3,24,2,no comment,-1
2023-06-26 10:08:05.250,B,S,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-5,18,2,no comment,-1
2023-06-26 10:08:20.568,A,A,No,Sinhala Medium,Sinhala Medium,2,4,4,4,Yes,no comment,Yes,A-1,24,2,no comment,-1
2023-06-26 10:09:00.254,A,A,No,Sinhala Medium,Sinhala Medium,2,3,3,4,Yes,no comment,Yes,B-1,22,2,no comment,-1
2023-06-26 10:09:42.749,C,C,No,Sinhala Medium,Sinhala Medium,2,3,2,2,Yes,no comment,Yes,A-6,13,1,no comment,-1
2023-06-26 10:10:31.956,B,C,Yes,Sinhala Medium,Sinhala Medium,2,3,3,2,Yes,no comment,Yes,B-3,17,2,no comment,-1
2023-06-26 10:11:08.614,A,C,No,Sinhala Medium,Sinhala Medium,2,3,4,3,Yes,no comment,Yes,A-3,19,2,no comment,-1
2023-06-26 10:13:39.173,A,B,No,Sinhala Medium,Sinhala Medium,2,3,3,3,Yes,no comment,Yes,B-5,20,2,no comment,-1
2023-06-26 10:18:12.898,B,C,No,Sinhala Medium,Sinhala Medium,2,3,3,3,Yes,no comment,Yes,A-3,17,2,no comment,-1
2023-06-26 10:21:27.624,B,S,No,Sinhala Medium,Sinhala Medium,2,2,3,3,Yes,no comment,Yes,B-5,15,1,no comment,-1
2023-06-26 10:23:15.237,B,S,No,Sinhala Medium,Sinhala Medium,2,3,4,3,No,no comment,Yes,B-3,17,2,no comment,-1
2023-06-26 11:27:29.142,C,W,No,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Maybe,A-5,18,2,no comment,-1
2023-06-26 11:28:45.152,C,S,Yes,Sinhala Medium,Sinhala Medium,5,5,5,5,No,no comment,Maybe,B-4,24,2,no comment,-1
2023-06-26 11:29:34.593,A,B,Yes,Sinhala Medium,Sinhala Medium,2,2,1,2,Yes,no comment,Yes,B-2,17,2,no comment,-1
2023-06-26 11:30:39.721,B,C,Yes,Sinhala Medium,Sinhala Medium,2,3,4,4,Yes,no comment,No,A-1,20,2,no comment,-1
2023-06-26 11:31:20.237,A,A,Yes,English Medium,Sinhala Medium,5,5,5,5,Yes,no comment,Maybe,B-2,32,3,no comment,-1
2023-06-26 11:31:55.845,A,B,Yes,Sinhala Medium,Sinhala Medium,4,4,3,4,Yes,no comment,Yes,B-5,25,2,no comment,-1
2023-06-26 11:32:34.602,C,S,No,Sinhala Medium,Sinhala Medium,1,2,2,2,No,no comment,Maybe,B-1,10,1,no comment,-1
2023-06-26 11:33:53.568,A,B,Yes,English Medium,Sinhala Medium,3,4,5,5,Yes,no comment,Maybe,A-3,28,3,no comment,-1
2023-06-26 11:34:38.607,A,C,No,English Medium,Sinhala Medium,3,4,4,3,Yes,no comment,Yes,B-2,22,2,no comment,-1
2023-06-26 11:36:06.718,A,C,Yes,Sinhala Medium,Sinhala Medium,3,3,4,4,Yes,We can improve our 4 skills by using this,Maybe,A-5,22,2,Natural,1
2023-06-26 11:49:23.535,B,S,No,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,I am shy to talking infront of audience ,Yes,B-4,13,1,Negative,1
2023-06-26 11:51:21.828,A,A,No,English Medium,Sinhala Medium,4,5,4,4,Yes,I really like to interactive session.but i feel little fear to face audience ,Yes,A-2,28,3,Positive,1
2023-06-26 11:52:44.623,A,A,No,Tamil Medium,Tamil Medium,5,5,4,5,Yes,"I like to interactive session.
",Yes,B-1,29,3,Natural,1
2023-06-26 11:56:05.888,A,B,No,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-1,25,2,no comment,-1
2023-06-26 11:56:48.777,C,S,Yes,Sinhala Medium,Sinhala Medium,1,1,2,1,Yes,no comment,Yes,B-3,9,1,no comment,-1
2023-06-26 11:58:24.095,S,W,No,Sinhala Medium,Sinhala Medium,1,1,1,1,No,It is too fast,Yes,A-6,5,0,Positive,1
2023-06-26 11:59:19.232,S,S,No,Sinhala Medium,Sinhala Medium,1,1,1,1,No,Its too fast,Maybe,B-6,6,1,Positive,1
2023-06-26 12:00:16.579,C,W,No,Sinhala Medium,Sinhala Medium,1,1,2,1,Yes,Can't understand lectures ,Yes,B-5,7,1,Natural,1
2023-06-26 12:07:45.513,B,B,Yes,Sinhala Medium,Sinhala Medium,4,3,4,3,Yes,I enjoy the interactive session ,Yes,A-3,23,2,Positive,1
2023-06-26 12:08:17.690,A,B,Yes,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,B-2,26,3,no comment,-1
2023-06-27 09:15:21.243,A,A,No,English Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-1,27,3,no comment,-1
2023-06-27 09:15:38.909,A,C,No,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,A-4,19,2,no comment,-1
2023-06-27 09:15:43.735,A,B,No,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Yes,A-5,24,2,no comment,-1
2023-06-27 09:16:03.274,A,B,Yes,Sinhala Medium,Sinhala Medium,3,4,4,4,Yes,no comment,Yes,B-2,25,2,no comment,-1
2023-06-27 09:16:39.080,C,S,No,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,no comment,Yes,B-6,11,1,no comment,-1
2023-06-27 09:16:42.034,A,S,No,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-5,22,2,no comment,-1
2023-06-27 09:17:10.244,B,C,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-3,19,2,no comment,-1
2023-06-27 09:17:20.394,B,W,No,Sinhala Medium,Sinhala Medium,2,2,2,2,Yes,no comment,Yes,A-6,12,1,no comment,-1
2023-06-27 09:17:57.552,A,A,Yes,English Medium,Sinhala Medium,4,5,5,5,Yes,no comment,Maybe,B-1,31,3,no comment,-1
2023-06-27 09:18:33.700,B,C,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-4,19,2,no comment,-1
2023-06-27 09:20:06.024,A,B,Yes,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,B-2,26,3,no comment,-1
2023-06-27 09:20:36.913,A,B,Yes,Sinhala Medium,Sinhala Medium,4,4,4,4,Yes,no comment,Yes,A-2,26,3,no comment,-1
2023-06-27 09:21:35.682,A,C,Yes,Sinhala Medium,Sinhala Medium,3,3,3,3,Yes,no comment,Yes,B-3,20,2,no comment,-1
